,question.stem,keywords,answer
1133,"She feared that she had cancer, but upon discovering truth that she hadn't, what was her attitude toward life?","['cancer', 'attitude', 'life', 'feared', 'hadn']",happiness
1134,What is the feeling of one having fun?,"['fun', 'feeling', 'having']",pleasure
1135,"If I keep getting crumbs under my table, what should I put under it?","['crumbs', 'table', 'getting']",
1136,Christians believe you will go to heaven if you're what?,"['christians', 'heaven', 'believe']",born again
1137,James loved to surf but he wasn't good at it. He would always do what?,"['surf', 'james', 'wasn', 'good', 'loved']",wipe out
1138,"Sarah gave her brother a guy to her home.  While she was gone, he used it to do what?","['sarah', 'brother', 'guy', 'gave', 'home']",open doors
1139,When did mammoth's live?,"['mammoth', 'live', 'did']",ancient times
1140,"After killing people, the murderer went to church after feeling what?","['murderer', 'killing', 'church', 'feeling', 'people']",remorse
1141,What might result in an unsuccessful suicide attempt?,"['suicide', 'unsuccessful', 'attempt', 'result']",interruption
1142,What can happen if you are buying products that someone else does not want you to buy?,"['buying', 'products', 'buy', 'want', 'happen']",disagreements
1143,"The child was getting many gifts for his birthday, his father reminded him to do what after opening each one?","['gifts', 'child', 'birthday', 'father', 'opening']",say thank
1144,"Bob stands in the grass surrounded by trees and nature, where is Bob?","['bob', 'grass', 'nature', 'trees', 'stands']",state park
1145,Bart entered his horse into the contest.  Where did he do this?,"['bart', 'horse', 'contest', 'entered', 'did']",state fair
1146,From where does a snowflake form?,"['snowflake', 'form', 'does']",cloud
1147,All the power tools like the drill used for fixing cars made for a very loud workplace where?,"['tools', 'drill', 'workplace', 'loud', 'cars']",repair shop
1148,"Applying for a job can make someone feel what sort of emotion, even if they get it?","['emotion', 'applying', 'job', 'feel', 'sort']",stress
1149,"A farmer sees a weasel in the woods, where is the farmer?","['weasel', 'farmer', 'woods', 'sees']",great outdoors
1150,"He picked up the perfect pebble, he planned to skip it across the entire small what?","['pebble', 'skip', 'small', 'picked', 'planned']",pond
1151,Traveling from new place to new place is likely to be what?,"['traveling', 'place', 'new', 'likely']",exhilarating
1152,Turkey only has a small northern part of their country located in part of the what?,"['turkey', 'northern', 'country', 'located', 'small']",balkan peninsula
1153,Where might someone store a reusable shopping bag?,"['bag', 'store', 'reusable', 'shopping']",closet
1154,How could you have fun by yourself with no one around you?,['fun'],
1155,The potato might be the official vegetable of what?,"['potato', 'vegetable', 'official']",maryland
1156,Where is the sky most beautiful?,"['sky', 'beautiful']",outdoors
1157,What type of fruit is easily broken in to sections?,"['fruit', 'sections', 'easily', 'type', 'broken']",citrus
1158,"Marathoners feel fatigued after running twenty six miles, but some that have pushed them self too hard might be prone to what?","['marathoners', 'fatigued', 'running', 'prone', 'miles']",passing out
1159,Billy liked driving cars.  He was good at it.  But he was rattled ever since his father experienced what?,"['billy', 'driving', 'cars', 'father', 'rattled']",death
1160,"I am cold, what should I do to stay warm?","['warm', 'cold', 'stay']",light fire
1161,"Copulating with the wrong partner may be ill advised, many diseases can be transferred that can cause different types of what?","['copulating', 'diseases', 'partner', 'advised', 'transferred']",skin irritation
1162,What do audiences clap for?,"['clap', 'audiences']",show
1163,Where would you get a balalaika if you do not have one?,['balalaika'],music store
1164,"Hoping for a beautiful day, what did the clouds do that disappointed everyone?","['clouds', 'disappointed', 'day', 'hoping', 'beautiful']",overcast
1165,What type of demands to the unions need to be making to go off strike?,"['unions', 'strike', 'demands', 'making', 'type']",reasonable
1166,"The landscaper was carefully arching stones together, he was creating an elaborate what over the creek?","['landscaper', 'creek', 'arching', 'stones', 'carefully']",bridge
1167,"John was not happy with his marriage. He and his wife drifted apart.     All and all, recent turns could be described as what?","['drifted', 'turns', 'john', 'marriage', 'wife']",unfortunate
1168,"The poor girls needed a light to see, what was the relationship between that light and finishing her homework?","['homework', 'light', 'girls', 'finishing', 'poor']",crucial
1169,Where would you find a ticket booth and see a concert?,"['concert', 'ticket', 'booth']",venue
1170,Who is not famous for a superhighway with no speed limit?,"['superhighway', 'speed', 'famous', 'limit']",america
1171,"The low trickle of water revealed a stone, where was the stone found?","['stone', 'water', 'trickle', 'revealed', 'low']",creek bed
1172,Where is the closest place from where you could borrow salt?,"['salt', 'place', 'borrow', 'closest']",
1173,"No matter what date you put on it, we all know the universe to be what?","['universe', 'date', 'matter', 'know']",very old
1174,A meteor travels through galaxies which are a part of what?,"['galaxies', 'meteor', 'travels']",universe
1175,What is a person considered a bully known for?,"['bully', 'known', 'person', 'considered']",made fun of
1176,"She had an interest in the man, what did she want to do with him?","['want', 'man', 'did']",have conversation
1177,Where is a drug kept in a home bathroom?,"['bathroom', 'drug', 'home', 'kept']",medicine cabinet
1178,When cooking sheep meat a lot of people might want to be well?,"['meat', 'sheep', 'cooking', 'people', 'lot']",done
1179,Where would you sit in a chair while working toward an advanced degree?,"['chair', 'sit', 'degree', 'advanced', 'working']",university
1180,Farm land makes use of what?,"['farm', 'land', 'makes', 'use']",farming areas
1181,A good interview after applying for a job may cause you to feel what?,"['interview', 'applying', 'job', 'feel', 'cause']",hope
1182,"Computers have allowed everybody to answer questions they have quickly, but still we seem to be getting duller despite access to this what?","['computers', 'duller', 'questions', 'answer', 'access']",advance knowledge
1183,"There was a long cottage somewhere.  People thought it was haunted.  It was overgrown, there was nothing near it.  It's was far into the what?","['haunted', 'cottage', 'overgrown', 'near', 'long']",countryside
1184,Where is knight always portrayed as a hero?,"['knight', 'hero', 'portrayed']",fairy tale
1185,James is carrying a duffel bag with him because he doesn't have a vehicle of his own and needs a bag to carry his things in while he uses what?,"['duffel', 'bag', 'james', 'carrying', 'vehicle']",transit
1186,What would you need if you want to smoke?,"['smoke', 'need', 'want']",
1187,"James decided that competing was the right choice.   Not competing has a defined outcome, but if he competes then what could happen?","['competing', 'competes', 'outcome', 'james', 'choice']",might win
1188,What could you use to get to some airplanes?,"['airplanes', 'use']",taxi
1189,What happens when driving?,"['driving', 'happens']",wheels turning
1190,What are our bodies doing after having food?,"['food', 'bodies', 'having', 'doing']",digesting
1191,Why would one try to avoid work?,"['work', 'avoid', 'try']",malaise
1192,What do you do in order to fly in airplane?,"['fly', 'airplane', 'order']",buy tickets
1193,What is another name for the color of the fur of a dog with light colored fur?,"['fur', 'colored', 'color', 'dog', 'light']",fair
1194,Sally was bored because she didn't like the junk that was on what?,"['sally', 'junk', 'bored', 'like', 'didn']",television
1195,"The lion sensed his competitor was timid, so what attitude did the lion take?","['lion', 'timid', 'attitude', 'competitor', 'sensed']",aggressive
1196,John felt a snake slither over him as he rested.  He was afraid to raise his covers for fear of startling it.  Where might he be?,"['snake', 'slither', 'john', 'afraid', 'fear']",bedroom
1197,Where can you find a place to eat in an urban area close to local nightlife?,"['nightlife', 'place', 'urban', 'local', 'area']",downtown
1198,"You have to a lot of thinking while studying a new subject, but it is how you gain what?","['studying', 'thinking', 'subject', 'gain', 'new']",knowledge
1199,How will you communicate if you are far away from who you want to communicate with?,"['communicate', 'far', 'away', 'want']",send email
1200,Why would you not trust your friends after chatting with friends?,"['friends', 'trust', 'chatting']",lie
1201,"He came from old money and had a fortune, but he made new money making shrewd trades where?","['fortune', 'shrewd', 'money', 'trades', 'old']",stock market
1202,Animals make up a large part of the?,"['animals', 'large', 'make']",ecosystem
1203,At a shop what can you buy to put your spare unused things?,"['shop', 'spare', 'things', 'unused', 'buy']",container
1204,"A person with digestion issues eats a meat-filled breakfast, what does he feel?","['digestion', 'eats', 'breakfast', 'meat', 'feel']",heartburn
1205,What is a prisoner sentenced to do?,"['sentenced', 'prisoner']",do time
1206,Jesse  enjoyed remembering the past because he helped him understand it.  And understanding the past helped him with doing what?,"['jesse', 'remembering', 'understanding', 'past', 'understand']",being prepared
1207,David watched some nesting birds using his binoculars while on vacation.  Where might David be?.,"['david', 'binoculars', 'birds', 'nesting', 'vacation']",forest
1208,Where would you find many varieties of plants including a rosebush?,"['rosebush', 'varieties', 'plants', 'including']",beautiful garden
1209,"If I did not have a rosebush, where would I get one?","['rosebush', 'did']",garden center
1210,What does a person with a what likely do?,"['person', 'likely', 'does']",know what time
1211,What are cats often known for?,"['cats', 'known']",sharp claws
1212,"As he looked out the window, he knew the landing was happening soon, and it made him nervous, but where would he be soon?","['landing', 'window', 'nervous', 'looked', 'soon']",airport
1213,Where can you find a dogs house?,"['dogs', 'house']",found outside
1214,"Tweed is a rare fabric in modern clothing, what brand should I look for when buying it?","['tweed', 'fabric', 'brand', 'clothing', 'modern']",eddie bauer
1215,"If you really wanted a grape, where would you go to get it?","['grape', 'really', 'wanted']",fruit stand
1216,What would you do to a rock when climb up a cliff?,"['climb', 'cliff', 'rock']",grab
1217,"His compressor needed a new hose, where did he go?","['compressor', 'hose', 'did', 'new', 'needed']",hardware store
1218,"The man closed his eyes as the music played, what effect did the music have?","['music', 'effect', 'eyes', 'closed', 'played']",soothing
1219,"Setting up framing, truss and beam are some of the first steps in what?","['framing', 'truss', 'beam', 'steps', 'setting']",new construction
1220,What is another name for a disk for storing information?,"['disk', 'storing', 'information']",computer hard drive
